turn_number,speaker,text,stage
27,Assistant,"I understand that you're asking if I understand you. I am designed to understand and respond to your requests. To continue, could you please let me know if it's okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,"Yes, okay then, wait, I will tell you, speak a little slowly, slowly.",NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,"Yes, this is the WhatsApp number. Our boys are there, they are going to college, Ellappa Chennanna himself will come. Ellappa Rudrappa Chennanna, he will come. He will come and call you.",NA
31,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Navin Magadum?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes, it is.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,No.,NA
9,Assistant,Is B.SC.your highest level of education?,Education
10,User,Yes.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
12,User,Government.,NA
13,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
14,User,Government KPSC.,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,Land surveyor exam preparation.,NA
17,Assistant,Let me confirm your details. You are looking for a Government Government KPSC job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
18,User,PSI.,NA
19,Assistant,Let me confirm your details. You are looking for a Government PSI job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Vinod Mahantesh Yaragatti?",Greeting
2,User,"Yes, tell me madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes madam, we are searching.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Wrong madam, I am twenty four, twenty three now.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"No madam, no, I work in the field.",NA
9,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
10,User,Uh Bachelor of Arts.,Education
11,Assistant,Okay. What is your highest level of education?,Education
12,User,B.A. B.A. Bachelor of Arts.,Education
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,I am studying for a government job.,NA
15,Assistant,"Okay, you are looking for a government job. What job roles are you looking for? You can tell any job you are looking for.",Job Role
16,User,Central government. Central government.,NA
17,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Uday Murari Hegade?",Greeting
2,User,Hello,NA
3,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Uday Murari Hegade?",Greeting
4,User,"No, no madam, please do it. I will give it in one minute. I will give their number.",NA
5,Assistant,Is Uday Murari Hegade around? Can you pass the phone to Uday Murari Hegade?,Identity Check
6,User,"Uday Murari Hegde, tell me madam.",NA
7,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
8,User,Yes sir.,NA
9,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
10,User,It has been changed.,NA
11,Assistant,"Okay, what is your correct age?",Profile
12,User,Twenty two.,NA
13,Assistant,Have you ever done a job before?,Experience
14,User,No.,NA
15,Assistant,Is BACHELOR OF SCIENCE your highest level of education?,Education
16,User,What is it?,NA
17,Assistant,"We need a few basic details about you, including your highest level of education, location, and what kind of job you are looking for. We will use this information to connect you to relevant jobs and organizations.",Education
18,User,"One minute, he is a little outside, the boy is talking to him, I will give all the details.",NA
19,Assistant,"Okay, I will wait. Hey are you still on call?",Silence Check
20,User,Okay.,NA
21,Assistant,Is BACHELOR OF SCIENCE your highest level of education?,Education
22,User,"I have an education degree, madam.",NA
23,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
24,User,Government job,NA
25,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
26,User,Government government job.,NA
27,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
28,User,"Don't want anything else, madam.",NA
29,Assistant,Let me confirm your details. You are looking for a Government job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
30,User,Yes.,NA
31,Assistant,Are you looking for a job in Hukeri Belagavi?,Intent
32,User,"Tell me, tell me madam.",NA
33,Assistant,What is the name of the district you are looking for a job in?,Intent
34,User,"What government job, government job is needed, madam.",NA
35,Assistant,What is the name of the district you are looking for a job in?,Intent
36,User,"Which district is it, how to say it madam, which government is it now?",Location District
37,Assistant,What is the name of the district you are looking for a job in?,Intent
38,User,"I don't have any connection with the district, madam.",Location District
39,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in? Hey are you still on call?",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with MAHESH MALLIKARJUN ANGADI?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Have you ever done a job before?,Experience
8,User,Yes.,NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,One and a half years.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,Full time.,Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Accounting banking.,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,No.,NA
17,Assistant,Let me confirm your details. You are looking for a full-time Accounting banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Yes.,NA
19,Assistant,Are you looking for a job in Kundgol Dharwad?,Intent
20,User,Hubballi,NA
21,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
22,User,Hubballi,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
24,User,No.,NA
25,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Anand Kenchappa Sattigeri?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your correct age?,Profile
8,User,Twenty-three.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No no.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,What?,NA
13,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
14,User,What happened?,NA
15,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
16,User,Yes yes.,NA
17,Assistant,Okay. What kind of job are you looking for?,Job Role
18,User,Government,NA
19,Assistant,What job roles are you looking for? You can tell any job you are looking for. Hey are you still on call?,Job Role
20,User,Yes yes.,NA
21,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
22,User,No no.,NA
23,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
24,User,No no.,NA
25,Assistant,Let me confirm your details. You are looking for a Government job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
26,User,Yes yes.,NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
28,User,Okay okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,No no.,NA
31,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Laxman Hirekurubar?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,No.,NA
7,Assistant,Have you ever done a job before?,Experience
8,User,Hmm.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,Hmm.,NA
11,Assistant,Have you ever done a job before?,Experience
12,User,I am a farmer.,NA
13,Assistant,How many years of work experience do you have?,Experience
14,User,Twenty three.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,Government job.,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,Government job.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,No.,NA
21,Assistant,Let me confirm your details. You are looking for a Government job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with NAVEEN SHEKHAR WADEYAR?",Greeting
2,User,"Yes, yes madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes madam.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes yes madam, okay.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"No madam, I die second year. Electrician, electrician, electrician.",NA
9,Assistant,Is Electrician (NSQF)your highest level of education?,Education
10,User,Electrician.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
12,User,Railway train madam.,NA
13,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
14,User,Railway railway railway railway madam.,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,"Okay madam, I will ask and tell you madam.",NA
17,Assistant,Let me confirm your details. You are looking for a full-time job Railway job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,"Yes madam, full time.",Job Type
19,Assistant,Are you looking for a job in Vaishali Belagavi?,Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with ADARSH BHIMAPPA BASARAGI?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No no. Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes, Rajendra.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,Yes.,NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,"Ah, one five five.",NA
11,Assistant,What was the last title of your last job role?,Job Role
12,User,Hmm?,NA
13,Assistant,What was the last title of your last job role?,Job Role
14,User,They will do security.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,Police,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,What are you doing?,NA
19,Assistant,"I am helping users find jobs by confirming some data about them and collecting new information. What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator. Hey are you still on call?",Job Role
20,User,Yes.,NA
21,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
22,User,Okay.,NA
23,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
24,User,They will look for any government job.,NA
25,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
26,User,The vehicle has run over.,NA
27,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
28,User,"I called, I called, I called, I called, I called again, no, I didn't call again.",NA
29,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Rahul Deepak Nelavagi?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes, I will do it.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes, Madam.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"Yes, yes, I have done one.",NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,One year.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
12,User,"Full time, full time.",Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Banking or Finance?,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,No madam.,NA
17,Assistant,Let me confirm your details. You are looking for a full-time Banking or Finance job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Yes madam.,NA
19,Assistant,Are you looking for a job in Nippani Belagavi?,Intent
20,User,Nippani,NA
21,Assistant,What is the name of the district you are looking for a job in?,Intent
22,User,I am from Kodiyapuram.,NA
23,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
24,User,Ippayya.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,"Yes madam, okay. Yes madam. Yes madam. Yes yes.",NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes madam.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Vrashabh Balasab Chougala?",Greeting
2,User,"Yes, tell me.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes, AI.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your correct age?,Profile
8,User,Twenty-three.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,"No, I have worked in an agriculture office.",NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,I have four years of experience in an agricultural workshop.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Computer working full-time job.,Job Type
15,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
16,User,Bank bank sector.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"No, there is nothing.",NA
19,Assistant,Let me confirm your details. You are looking for a full-time job Bank sector job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Yes.,NA
21,Assistant,Are you looking for a job in Raybag Belagavi?,Intent
22,User,Ah yes.,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Shivaprasad Y Savadatti?",Greeting
2,User,"Mobile is open. Yes, tell me.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Okay, it's done.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,Nothing.,NA
9,Assistant,Is B.SC.your highest level of education?,Education
10,User,Yes.,NA
11,Assistant,Okay. What is your highest level of education?,Education
12,User,"No, I have a degree, sir.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Now government job,NA
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Huh?,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,Central government or state government charges.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,Not possible for now.,NA
21,Assistant,Let me confirm your details. You are looking for a government job job. Is this correct? Please say yes to continue or tell me what to change. Hey are you still on call?,Confirmation
22,User,Hmm.,NA
