interaction_id,turn_number,text,next_text
20260207/01572fad-16:39:31-6cf75ddd,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Hmm finance.
20260207/016154f1-16:51:27-302062f5,21,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","There is one lakh rupees, right?"
20260207/016154f1-16:51:27-302062f5,23,"I'm sorry, I didn't understand that. What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator. Hey are you still on call?",I am on the call.
20260207/016a1ed6-16:18:27-20539503,15,What job roles are you looking for? You can tell any job you are looking for.,Hello
20260207/016a1ed6-16:18:27-20539503,17,What job roles are you looking for? You can tell any job you are looking for.,I know electrician.
20260207/0187de7b-16:43:48-42ff298b,17,What job roles are you looking for? You can tell any job you are looking for.,Which job is he working in?
20260207/0187de7b-16:43:48-42ff298b,19,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Yes.
20260207/0190b79f-16:58:13-cb44186c,21,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Machine operator and data entry.
20260207/01aabb22-15:41:00-049789bc,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Interior design.
20260207/01acf633-16:46:50-b86ead53,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","No madam, I am saying let's try Indian Army."
20260207/01bece06-17:00:36-54586c6c,13,What was the last title of your last job role?,Ours.
20260207/01bece06-17:00:36-54586c6c,19,What job roles are you looking for? You can tell any job you are looking for,"Yes, I will do it."
20260207/01cd4d59-15:55:19-16074e1c,19,What job roles are you looking for? You can tell any job you are looking for.,Who are you?
20260207/01cf3972-16:49:53-f9fcedc5,15,What job roles are you looking for? You can tell any job you are looking for.,Data in accounting accountant.
20260207/01f7cf2b-19:27:16-9b9b1251,21,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Machine operator.
20260207/01ff9d97-15:52:50-8a852abf,13,What job roles are you looking for? You can tell any job you are looking for.,Manufacturing plant in the automobile sector.
20260207/0201dd1b-15:40:04-9007999f,19,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","There is nothing like that, madam."
20260207/020964b1-16:45:06-cbaa78be,19,"Okay, I understand. What job roles are you looking for? You can tell me any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",There is nothing.
20260207/0222f175-16:37:03-608b87df,15,What job roles are you looking for? You can tell any job you are looking for.,How much is the payment?
20260207/022fdb45-16:14:44-3026c349,11,What was the last title of your last job role? Hey are you still on call?,Yes.
20260207/022fdb45-16:14:44-3026c349,13,What was the last title of your last job role?,I am a doctor.
20260207/025b9384-15:33:47-ae795bd9,15,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","Madam, I will do it later."
20260207/026298d1-18:26:20-93d253c4,13,What job roles are you looking for? You can tell any job you are looking for.,Accountant.
20260207/02641549-19:01:32-bc178150,21,What job roles are you looking for? You can tell any job you are looking for.,Full time job.
20260207/02779793-16:17:33-5c1ff3f6,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","The person you are speaking to has put your call on hold. Please stay on the line. The person you are speaking to, he has your call."
20260207/0278f6c3-15:39:57-80ac4a6f,13,What job roles are you looking for? You can tell any job you are looking for,"What, which mechanic, which one, these, all these things to search for."
20260207/02895fea-15:42:02-97e3e9b9,15,What job roles are you looking for? You can tell any job you are looking for.,I have to do office work.
20260207/02a1bdf5-16:50:48-6eb05593,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Madam, which car have you called?"
20260207/02a1bdf5-16:50:48-6eb05593,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","I I didn't go searching madam, which job is on your side?"
20260207/02b6bb74-17:38:34-8c3fe24f,17,What job roles are you looking for? You can tell any job you are looking for.,Quality controller.
20260207/02b79a43-16:13:29-b645dedf,15,What job roles are you looking for? You can tell any job you are looking for.,I have come to do a temporary job.
20260207/02bf4b34-15:56:36-eadfb5a3,9,What was the last title of your last job role?,Machinist ITI.
20260207/02bf4b34-15:56:36-eadfb5a3,13,What job roles are you looking for? You can tell any job you are looking for,"No no, for one year, I haven't learned any work yet."
20260207/02cec2fd-15:37:23-4bb613b7,17,What job roles are you looking for? You can tell any job you are looking for.,Banking.
20260207/02ff7873-16:54:43-37860ed8,27,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Computer, bike."
20260207/0309614b-16:04:11-35005d7e,13,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",related finance related any job.
20260207/031baac2-16:40:16-48668bb6,13,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Electrical electrical.
20260207/0338ba1b-16:43:49-903629d6,17,What job roles are you looking for? You can tell any job you are looking for.,I'm not finding currently anything but I'm good at communication skills.
20260207/033b4357-16:53:33-591e5485,17,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Electrical.
20260207/0344ba48-18:24:01-aca35a2b,15,What job roles are you looking for? You can tell any job you are looking for.,"Uh yeah ma'am, business analyst or digital marketing?"
20260207/03551a87-16:31:37-0b69d57a,13,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Data entry.
20260207/03577029-16:32:16-c22028b9,15,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Once more ma'am.
20260207/03577029-16:32:16-c22028b9,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","Electrician, machine operator."
20260207/035f33d3-15:47:09-918a7c46,13,What job roles are you looking for? You can tell any job you are looking for. Hey are you still on call?,Yes.
20260207/035f33d3-15:47:09-918a7c46,15,What job roles are you looking for? You can tell any job you are looking for.,I will do it.
20260207/036f9c81-16:11:03-051bcbe8,19,What job roles are you looking for? You can tell any job you are looking for.,"Okay, which work is going on?"
20260207/0370d9d7-16:23:08-80e37834,19,What job roles are you looking for? You can tell any job you are looking for.,"No, it's not there, madam. It's still in college."
20260207/037c776d-17:32:34-1c577b2b,13,What job roles are you looking for? You can tell any job you are looking for.,Government job madam.
20260207/037dd7a0-16:35:12-03879d5f,13,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Banking.
20260207/03851181-15:35:31-3444aaa7,13,What was the last title of your last job role?,Pori.
20260207/03851181-15:35:31-3444aaa7,21,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","I became a machine operator, and after that, I also did security work, madam."
20260207/038ff6de-16:40:42-d66e3696,19,What job roles are you looking for? You can tell any job you are looking for.,What is it?
20260207/03a4c2f3-17:01:37-284592c4,15,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Data entry.
20260207/03b87260-15:55:28-296d7856,15,"Okay, I understand you are not actively searching for a job right now. What job roles are you looking for? You can tell any job you are looking for.","No no, he is not searching at all. He is not searching at all. We have a small baby at our house, it's his."
20260207/03b87260-15:55:28-296d7856,17,"I understand. So, to confirm, the person is not looking for any job roles at all right now?",No no.
20260207/03ca2df2-18:15:47-728b00bb,15,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Procurement or supply chain management.
20260207/03d1d98c-16:45:22-a7621d15,13,What job roles are you looking for? You can tell any job you are looking for,Software development or software development?
20260207/03de11e0-18:00:24-d7af44f9,15,What job roles are you looking for? You can tell any job you are looking for.,CNC
20260207/03df7d6f-16:31:15-74c51150,13,"What job roles are you looking for? You can tell any job you are looking for, like data entry operator, salesperson, electrician, or machine operator.",Machine operator.
20260207/040fb999-19:34:59-0f8926d6,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Nothing, ma'am. I have completed Electronics and Communication Engineering."
20260207/0415d883-17:00:51-b11300e3,15,What job roles are you looking for? You can tell any job you are looking for.,Example.
20260207/04202771-17:22:02-37fec37b,15,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.","IT department, software engineer, IT support, software application support."
20260207/04258609-16:57:58-129b61e5,13,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",I will see.
20260207/04268909-15:58:51-0f665ae4,19,What job roles are you looking for? You can tell any job you are looking for.,"Now the welder's is complete, right?"
20260207/045f390a-16:58:51-d3770dae,13,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Nothing, sir. We can do tailoring work, anything."
20260207/045fb10e-15:49:00-df596bae,15,What job roles are you looking for? You can tell any job you are looking for.,First one.
20260207/0467760f-15:57:33-3bbd2b76,19,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Look madam, that is his mark, not mine. He has studied ITI, that is his mark."
20260207/046f0bc2-16:02:13-e6ad55b5,13,What was the last title of your last job role?,"Nothing madam, it was a waiter."
20260207/046f0bc2-16:02:13-e6ad55b5,17,What job roles are you looking for? You can tell any job you are looking for.,We search in the car showroom.
20260207/0471d999-18:02:28-b8d05fde,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",There is no answer for us.
20260207/047668e2-16:55:55-aa1fa9a5,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","No, I have no interest in anything, ma'am."
20260207/047668e2-16:55:55-aa1fa9a5,23,"Please tell me what to change regarding your job type, job role, or other needs.","Hmm, this"
20260207/047668e2-16:55:55-aa1fa9a5,25,"Please tell me what to change regarding your job type, job role, or other needs.","No, I don't have any interest, take it ma'am."
20260207/047a0c4a-16:42:13-c640473c,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Government job.
20260207/047b01fc-15:36:38-c99e1cbf,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","No no, nothing else."
20260207/04825494-15:37:02-44bc08f1,15,What job roles are you looking for? You can tell any job you are looking for,Manufacturing unit companies.
20260207/04941fad-16:53:21-5c6095a9,11,What was the last title of your last job role?,Electrician madam.
20260207/04941fad-16:53:21-5c6095a9,15,What job roles are you looking for? You can tell any job you are looking for. Hey are you still on call?,"Anything will do, madam."
20260207/04b9b0ad-19:29:50-0b0bd168,13,What job roles are you looking for? You can tell any job you are looking for.,"Yeah, any work."
20260207/04c399c7-16:43:40-4cbed3dd,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Machine operator.
20260207/04c531c6-16:53:15-cbaed3ab,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Electrician.
20260207/04c7555b-18:16:51-c5be8d5e,19,What job roles are you looking for? You can tell any job you are looking for.,I am a learner.
20260207/04d5ea47-18:26:07-9bc380f5,13,What was the last title of your last job role?,Yes madam.
20260207/04d5ea47-18:26:07-9bc380f5,17,What job roles are you looking for? You can tell any job you are looking for,"Finance, finance."
20260207/04de5dd8-16:34:15-8fc61ff2,15,What job roles are you looking for? You can tell any job you are looking for.,Which company is that? Which company is it within?
20260207/04eeadb6-16:42:48-d7bac593,15,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Railway railway
20260207/04ef92aa-16:51:50-c04c3fac,13,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Data entry.
20260207/04f85568-19:33:14-e9c90ab8,15,What job roles are you looking for? You can tell any job you are looking for.,Where are you studying?
20260207/04f85568-19:33:14-e9c90ab8,19,What job roles are you looking for? You can tell any job you are looking for.,What's the matter? Is the cloth okay?
20260207/04f85568-19:33:14-e9c90ab8,21,What job roles are you looking for? You can tell any job you are looking for.,"Clothes, clothes."
20260207/051d46c2-15:51:10-2a4fe986,13,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Government KPSC.
20260207/053fbdda-18:54:37-e743052f,15,What job roles are you looking for? You can tell any job you are looking for.,Part-time job.
20260207/055e10f9-16:28:55-e3eb363b,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Billing.
20260207/05781fe5-16:52:06-4decbc30,15,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator. Hey are you still on call?",Data entry operator.
20260207/05857153-17:45:07-f6c6be55,13,What job roles are you looking for? You can tell any job you are looking for.,"Software engineering, data analysis."
20260207/05857153-18:45:53-97ec0b35,13,What job roles are you looking for? You can tell any job you are looking for.,Software in your data analysis.
20260207/0591abd1-15:55:21-b4a8970b,15,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Machine operator.
20260207/0591cfdf-16:55:02-2f4d50c0,15,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Anything
20260207/05a60f1e-15:58:07-847eec74,17,What job roles are you looking for? You can tell any job you are looking for.,Computer operating.
20260207/05cd55aa-16:28:41-a55aca21,17,What job roles are you looking for? You can tell any job you are looking for.,"That means we are still going to college, after college we will see about a job."
20260207/05cd55aa-16:28:41-a55aca21,19,What job roles are you looking for? You can tell any job you are looking for.,Yes.
20260207/05cd55aa-16:28:41-a55aca21,21,What job roles are you looking for? You can tell any job you are looking for.,Hello.
20260207/05eca9a2-15:47:52-6bbb535e,15,"Okay, you are looking for a government job. What job roles are you looking for? You can tell any job you are looking for.",Central government. Central government.
20260207/06030e8b-15:53:16-6e7b42dc,19,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Which job will you give? Which one will you give?
20260207/060d8748-16:28:31-053ea441,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Nothing happened madam, I want to do B.Ed."
20260207/06108314-16:06:44-0ae34def,13,What job roles are you looking for? You can tell any job you are looking for,That means there is a lot of work.
20260207/0617eb75-19:04:09-c7e411db,25,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Government government job.
20260207/0642ac92-16:26:07-5e751a65,21,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Uh, I don't want it."
20260207/064b79d2-16:23:02-958c2751,25,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","I don't have any rules mandatory for this job. Give me any work you want, I will do it compulsorily."
20260207/064e21fb-18:12:07-8795ba18,13,What job roles are you looking for? You can tell any job you are looking for.,Accounting banking.
20260207/065d89c2-15:53:18-58731870,13,What job roles are you looking for? You can tell any job you are looking for.,We are in an internship in some company.
20260207/0662e900-16:53:04-babf6b4b,13,What job roles are you looking for? You can tell any job you are looking for,I will do it.
20260207/066a0f64-15:45:25-c4fea731,15,What job roles are you looking for? You can tell any job you are looking for.,Police officer.
20260207/068391e9-18:09:52-f5017775,15,What job roles are you looking for? You can tell any job you are looking for.,Examples.
20260207/0685618e-16:04:18-bae31ed5,17,What job roles are you looking for? You can tell any job you are looking for.,Company work.
20260207/0689858a-15:49:56-cf21963e,25,What job roles are you looking for? You can tell any job you are looking for.,"Okay, I will do it."
20260207/0696fcd1-16:42:38-8d34fc75,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","I am saying the same thing, it is computer work."
20260207/0696fcd1-16:42:38-8d34fc75,25,"Please tell me what to change regarding your job type, job role, or other needs.","No, tell me where the work is."
20260207/0696fcd1-16:42:38-8d34fc75,29,"I'm sorry, I'm not sure I understand. Could you please tell me what you would like to change about the job type, job role, or other needs I just mentioned?",I will do it tomorrow.
20260207/069f4b6e-16:26:35-75f02317,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","No, accounting."
20260207/06a9bc28-18:28:56-d8bd0bdc,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Ah
20260207/06a9bc28-18:28:56-d8bd0bdc,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Data entry.
20260207/06b5bf66-15:38:09-d0cc3247,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Data entry.
20260207/06d258df-18:25:03-df79291c,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Data analyst.
20260207/06d4d678-17:38:44-f219aae6,15,What was the last title of your last job role?,Huh?
20260207/06d4d678-17:38:44-f219aae6,17,What was the title of your last job role?,Where will you go?
20260207/06d4d678-17:38:44-f219aae6,25,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Machine operator.
20260207/06e8adca-16:46:28-66a8e1e4,17,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator. Hey are you still on call?","I am fine, okay."
20260207/06e8adca-16:46:28-66a8e1e4,19,"I'm glad to hear you're fine! To continue, please tell me what job roles you are looking for. For example, are you interested in being a data entry operator, a salesperson, an electrician, or a machine operator?",Data entry.
20260207/070aef7e-15:49:24-29a1f14c,9,What was the last title of your last job role?,I am Indian Army.
20260207/070aef7e-15:49:24-29a1f14c,13,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","IAS, IPS."
20260207/071aeee3-16:00:08-e9a7087f,15,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.","Welding, sir."
20260207/071e1c10-17:49:32-f1385ab1,15,What job roles are you looking for? You can tell any job you are looking for.,AI engineer machine learning.
20260207/071e71ca-15:44:10-f04376be,25,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",I need a police job.
20260207/071eed74-19:26:53-a2536e5b,17,What job roles are you looking for? You can tell any job you are looking for.,Do you need any work at all?
20260207/073b00c3-16:04:18-8c4aaf61,19,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Machine operator.
20260207/074ca998-16:39:19-d2a70c04,13,What was the last title of your last job role?,What?
20260207/074ca998-16:39:19-d2a70c04,15,What was the last title of your last job role?,"Nothing, if there is a last job, we will do it, otherwise no."
20260207/074ca998-16:39:19-d2a70c04,19,What job roles are you looking for? You can tell any job you are looking for.,Check the name.
20260207/07546f84-19:04:11-bdcd9f11,17,Okay. What kind of job are you looking for?,Government
20260207/07546f84-19:04:11-bdcd9f11,19,What job roles are you looking for? You can tell any job you are looking for. Hey are you still on call?,Yes yes.
20260207/07546f84-19:04:11-bdcd9f11,21,What job roles are you looking for? You can tell any job you are looking for.,No no.
20260207/077cf725-15:48:37-8d86451d,13,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.","I am looking for a part-time job, madam. It would have been fine if I found any."
20260207/0784cc0a-16:45:22-3bf085a1,19,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Electrician
20260207/07a41dbe-15:37:31-8327fce1,11,What was the last title of your last job role?,I did the title.
20260207/07a696c1-15:57:52-1b40de44,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Complaint madam, inside the company."
20260207/07a91134-20:18:43-6a3b11a6,17,"Okay Nandu, what job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.","I am from Bengaluru. Bring my sister, bring her. She is in tenth standard, madam."
20260207/07a91134-20:18:43-6a3b11a6,19,"I understand you are from Bengaluru and your sister is in tenth standard. But to help you find a job, I need to know what job roles you are looking for. For example, are you interested in being a data entry operator, a salesperson, an electrician, or a machine operator?","Two minutes madam, two minutes madam, they will come, they will talk, they will talk to you madam."
20260207/07a91134-20:29:29-2b091a2f,13,What was the last title of your last job role?,Yes.
20260207/07a91134-20:29:29-2b091a2f,17,What job roles are you looking for? You can tell any job you are looking for.,"What did you say, madam?"
20260207/07a91134-20:29:29-2b091a2f,19,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","I had asked about sales in the sales mall, I have asked, madam."
20260207/07a91134-20:52:28-58f1b48b,19,What job roles are you looking for? You can tell any job you are looking for.,Reception job?
20260207/07b54ba6-16:50:37-1ce8d6d7,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator. Hey are you still on call?","Yes, I am an electrician."
20260207/07b85e93-16:27:27-193df633,15,I understand you're looking for government jobs. What specific job roles are you looking for? You can tell me any job you are looking for.,"No madam, the call form hasn't been done yet, and what, the call form hasn't been done."
20260207/07b85e93-16:27:27-193df633,17,"I'm sorry, I didn't quite understand. Could you please tell me what job roles you are looking for? For example, data entry operator, salesperson, electrician, or machine operator.","Hey, none of those are there, madam."
20260207/07d864d9-17:04:50-43492975,15,What was the last title of your last job role?,What is it?
20260207/07d864d9-17:04:50-43492975,19,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.","Tell them to write it in this finance, they will come, I will ask them to take it."
20260207/07d877eb-15:52:12-45b5e608,15,What job roles are you looking for? You can tell any job you are looking for.,Worker from home.
20260207/07e94946-16:56:38-25bfd892,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",This is nothing.
20260207/080494a1-16:03:37-83e1a91d,15,What job roles are you looking for? You can tell any job you are looking for.,Give options.
20260207/0805767d-16:26:40-07c70420,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Government job.
20260207/0816208e-16:21:58-d09f8c00,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Full time ma'am.
20260207/0822f182-16:59:10-a2bf42e8,13,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Railway railway railway railway madam.
20260207/082b4a8a-18:22:29-5d1dcd40,15,What job roles are you looking for? You can tell any job you are looking for,I am saying that I want to go into the company electrician.
20260207/0831b61d-15:54:18-2534d0af,13,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","Madam, engineering, madam."
20260207/0836bb8c-17:56:41-22f38053,13,What was the last title of your last job role?,"There, this is a pharmacist."
20260207/0836bb8c-17:56:41-22f38053,17,What job roles are you looking for? You can tell any job you are looking for.,Computer operator.
20260207/08443ddf-15:56:58-675e0468,17,"Okay, I understand. What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.","We haven't gone to any job, madam. We have more land, madam. We have more land. We are managing by working, madam."
20260207/0851a18f-19:03:38-80aac884,15,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Dome.
20260207/085d5e2b-16:12:15-62bed8ad,11,What was the last title of your last job role?,"There is no job, ma'am."
20260207/085d5e2b-16:12:15-62bed8ad,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Electrician ma'am.
20260207/086f8a38-16:04:32-8504ac14,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Electric.
